Pirahna Plant,0,0,0,1
Joker,1,0,1,1
Hero,1,1,1,1
Banjo and Kazooie,1,0,0,1
Terry,1,0,0,1
Byleth,0,1,1,1
Min min,0,0,0,1
Steve,1,0,0,1
Sephiroth,1,1,1,1
Aegis,0,1,1,1
Kazuya,1,0,0,1
Waluigi,0,0,0,0
Sora,1,1,1,0
Heavy,1,0,0,0
Master Chief,1,0,0,0
Phoenix Wright,1,0,1,0
Dante,1,1,0,0
Isaac,0,1,1,0
Sans,1,0,0,0
Crash,1,0,0,0
Geno,0,0,0,0
Reimu,1,0,1,0
